acousticness,danceability,duration_ms,energy,song_title,artist
0.0102,0.833,204600,0.434,Mask Off,Future
0.199,0.743,326933,0.359,Redbone,Childish Gambino
0.0344,0.838,185707,0.412,Xanny Family,Future
0.604,0.494,199413,0.338,Master Of None,Beach House
0.18,0.678,392893,0.561,Parallel Lines,Junior Boys
0.00479,0.804,251333,0.56,Sneakin’,Drake
0.0145,0.739,241400,0.472,Childs Play,Drake
0.0202,0.266,349667,0.348,Gyöngyhajú lány,Omega
0.0481,0.603,202853,0.944,I've Seen Footage,Death Grips
0.00208,0.836,226840,0.603,Digital Animal,Honey Claws
0.0572,0.525,358187,0.855,Subways - In Flagranti Extended Edit,The Avalanches
0.0915,0.753,324880,0.748,Donme Dolap - Baris K Edit,Modern Folk
0.253,0.603,356973,0.434,Cemalim,Erkin Koray
0.366,0.762,243270,0.476,One Night,Lil Yachty
0.44,0.662,247288,0.603,Oh lala,PNL
0.019,0.637,188333,0.832,Char,Crystal Castles
0.0239,0.603,270827,0.955,World In Motion,New Order
0.233,0.789,447907,0.659,One Nation Under a Groove,Funkadelic
0.314,0.713,195429,0.611,Bouncin,Chief Keef
0.0242,0.735,214347,0.759,C O O L - Radio Edit,Le Youth
0.000702,0.854,249253,0.719,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere
0.00024,0.747,307680,0.74,House of Jealous Lovers,The Rapture
0.118,0.854,287086,0.401,Imma Ride,Young Thug
0.000596,0.224,132760,0.925,Girlfriend,Ty Segall
0.279,0.512,203400,0.564,If I Gave You My Love,Myron & E
0.00219,0.781,205160,0.795,This Ready Flesh,TR/ST
0.341,0.411,199500,0.684,Lose My Mind,A-Trak
0.018,0.646,188333,0.837,Char,Crystal Castles
0.0516,0.782,228562,0.572,Look Alive,Rae Sremmurd
0.282,0.735,186096,0.4,Please Stop Making Fake Versace,Father
0.00791,0.45,220934,0.449,Milly Rock,2milly
0.0219,0.897,285240,0.642,Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign
0.0358,0.959,213000,0.598,Best Friend,Young Thug
0.0324,0.742,280831,0.559,Hercules,Young Thug
0.118,0.805,232880,0.687,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold
0.0428,0.667,230693,0.581,Check,Young Thug
0.297,0.722,175613,0.823,Poppin' My Collar,Three 6 Mafia
0.0565,0.853,205879,0.547,Jumpman,Drake
0.0128,0.747,213507,0.705,11-Jul,Beyoncé
0.135,0.777,237187,0.591,Somebody's Watching Me,Rockwell
0.00041,0.731,324541,0.852,Bang That,Disclosure
0.00356,0.76,186122,0.402,I Don't Sell Molly No More,ILoveMakonnen
0.00156,0.624,183000,0.792,Versace Python,Riff Raff
0.00243,0.621,378893,0.683,Monster,Kanye West
0.533,0.64,234526,0.819,OOOUUU,Young M.A.
0.00631,0.715,213093,0.833,Return Of The Mack - C & J Street Mix,Mark Morrison
0.00182,0.7,386160,0.756,Fantastic Man,William Onyeabor
0.0923,0.789,175240,0.494,Right Place Wrong Time,Dr. John
0.375,0.796,252547,0.86,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo
0.183,0.716,576888,0.957,Odofo Nyi Akyiri Biara,Ebo Taylor
0.0185,0.74,241341,0.846,Annie,Neon Indian
0.0638,0.7,224480,0.84,The Chase,Future Islands
0.456,0.514,215613,0.453,Coming Home,Leon Bridges
0.128,0.313,286960,0.77,Wishes,Beach House
0.246,0.676,254769,0.528,White Iverson,Post Malone
0.12,0.532,213622,0.596,I Know There's Gonna Be (Good Times),Jamie xx
0.00426,0.646,283067,0.629,Loud Places,Jamie xx
0.193,0.598,238307,0.252,L$D,A$AP Rocky
0.0174,0.754,113373,0.442,Dopeman,Vince Staples
0.000392,0.294,311360,0.786,California Nights,Best Coast
0.435,0.622,287427,0.253,Baby,Ariel Pink's Haunted Graffiti
0.257,0.559,225347,0.656,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland"
0.000145,0.54,293646,0.945,Fail to Cry,Yacht Club
0.273,0.793,232251,0.7,Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man
0.374,0.549,223720,0.715,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi
0.00266,0.557,186397,0.607,Sentimental Trash,Sweet Valley
0.000546,0.597,279240,0.444,Get Away,CHVRCHES
0.00781,0.879,213786,0.512,Look At Wrist,Father
0.125,0.726,334173,0.497,Our Love,Caribou
0.00158,0.857,134062,0.831,I Ain't Trippin off Nothin,Ezale
0.0132,0.807,330920,0.778,They Don't Know - Original Mix,Disciples
0.783,0.596,196627,0.639,Sabali,Amadou & Mariam
0.518,0.683,155133,0.708,Spooky,Dusty Springfield
0.0548,0.768,239908,0.853,Pick Up The Pieces,Average White Band
0.727,0.506,160400,0.948,Have Love Will Travel,The Sonics
0.000313,0.457,293533,0.918,Capitol,TR/ST
0.34,0.468,386760,0.58,Uncast Shadow Of A Southern Myth,Parquet Courts
0.47,0.537,232453,0.447,I Shall Be Released - Remastered,Nina Simone
0.855,0.515,378253,0.217,Words I Don't Remember,How To Dress Well
0.00502,0.429,196933,0.725,To The Top,Twin Shadow
0.555,0.791,187210,0.58,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat
0.186,0.711,221350,0.705,Aquafina (feat. GoldLink & Chaz French),Falcons
0.0249,0.683,201049,0.824,Hot Blur,How Sad
0.0108,0.309,257867,0.325,Summer Madness,Kool & The Gang
0.193,0.867,460400,0.733,The Payback,James Brown
0.0192,0.619,275533,0.734,I'm In Love,Fool's Gold
0.00776,0.898,429897,0.5,I Need You Tonight,Punkin Machine
0.17,0.589,206240,0.745,Everybody Likes Something Good,Ify Jerry Crusade
0.0221,0.606,234987,0.668,Dadje Von O Von Non,Gnonnas Pédro
0.0397,0.786,302840,0.547,Sugah Daddy,D'Angelo
0.0213,0.734,321933,0.548,International Players Anthem,Swishahouse
0.0454,0.812,268421,0.676,Swerve,ILoveMakonnen
0.00672,0.876,213246,0.606,Look At Wrist,Father
0.00488,0.601,467587,0.873,Let It Happen,Tame Impala
0.00419,0.748,213053,0.741,My Way (feat. Monty),Fetty Wap
0.17,0.615,214150,0.814,Walk,Kwabs
0.0604,0.799,333520,0.789,The Magnificent Seven - Remastered,The Clash
0.0571,0.398,247390,0.776,NOBO,Tijuana Panthers
0.716,0.685,427227,0.423,The Gaudy Side of Town,Gayngs
0.0151,0.706,299799,0.581,U Mad,Vic Mensa
0.228,0.63,315595,0.98,Slumlord,Neon Indian
0.017,0.57,237480,0.736,Leave A Trace,CHVRCHES
0.247,0.525,292760,0.643,Willing & Able,Disclosure
0.123,0.698,236760,0.793,White Girl,Shy Glizzy
0.00705,0.763,213375,0.773,Maneuvering,ILoveMakonnen
0.181,0.511,160907,0.769,Be My Baby,The Ronettes
0.378,0.506,159253,0.813,Why Don't They Let Us Fall in Love,The Ronettes
0.677,0.513,162040,0.494,Will You Love Me Tomorrow,The Shirelles
0.488,0.251,126827,0.868,One Fine Day,The Chiffons
0.487,0.559,111270,0.633,He's So Fine - 2000 Digital Remaster,The Chiffons
0.7,0.431,158685,0.678,Then He Kissed Me,The Crystals
0.403,0.683,142333,0.71,It's My Party,Lesley Gore
0.656,0.78,149440,0.599,Please Mr. Postman,The Marvelettes
0.00904,0.614,196352,0.907,Fiesta - Remix,Bomba Estéreo
0.141,0.661,196615,0.531,Queen's Speech 4,Lady Leshurr
0.119,0.564,213622,0.594,I Know There's Gonna Be (Good Times),Jamie xx
0.0659,0.751,202533,0.597,With That (feat. Duke),Young Thug
0.00257,0.896,267024,0.623,Hotline Bling,Drake
0.00256,0.618,196693,0.717,679 (feat. Remy Boyz),Fetty Wap
0.0244,0.746,222093,0.873,Trap Queen,Fetty Wap
0.013,0.888,200080,0.483,No Type,Rae Sremmurd
0.0127,0.443,318750,0.645,Chasing Heaven,Bassnectar
0.00943,0.507,282273,0.934,Speakerbox (feat. Lafa Taylor),Bassnectar
0.000758,0.695,253773,0.912,Movin' Bass - GTA Remix,Rick Ross
0.674,0.462,226333,0.449,Danger and Dread,Brown Bird
0.0161,0.526,241440,0.712,Midnight City,M83
0.107,0.645,591707,0.924,Water No Get Enemy - Edit,Fela Kuti
0.0134,0.405,592920,0.647,Pyramids,Frank Ocean
0.0219,0.735,269817,0.641,Hercules Theme,Hercules & Love Affair
0.0452,0.746,238146,0.416,Rewind,Kelela
0.0551,0.547,251093,0.643,My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.
0.0224,0.634,221960,0.609,Kush,Lil Wayne
0.244,0.607,253800,0.488,9,Willow
0.0668,0.704,199246,0.647,Magnets,Disclosure
7.19E-05,0.558,258187,0.642,Don't Move,Phantogram
0.0227,0.698,248053,0.804,Pussy,Brazilian Girls
0.103,0.772,191160,0.582,Black Mags,The Cool Kids
0.0956,0.788,238467,0.864,Stay Fly - Explicit Album Version,Three 6 Mafia
0.00919,0.944,261973,0.839,Sippin On Some Syrup,Three 6 Mafia
0.354,0.729,176880,0.795,Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia
0.00469,0.721,228933,0.621,Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall
0.00102,0.798,227587,0.751,Gold and a Pager,The Cool Kids
0.0512,0.851,224653,0.387,Smell Yo D*ck,Riskay
0.0252,0.34,147467,0.805,Don't Wanna Lose,Ex Hex
0.221,0.767,194066,0.891,Endless Rhythm,Baio
0.937,0.772,220093,0.635,Demon,Shamir
2.13E-05,0.259,350920,0.847,Nothing Ever Happened,Deerhunter
0.284,0.633,226747,0.77,Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels
0.0962,0.654,252095,0.292,River,Ibeyi
0.334,0.726,221787,0.583,The Buzz (feat. Mataya & Young Tapz),Hermitude
0.0648,0.855,310907,0.638,All Day,Kanye West
0.185,0.704,282253,0.431,Blood On the Money,Future
0.689,0.658,238560,0.179,River,Leon Bridges
0.000472,0.502,244204,0.833,Trust Me Danny,ILoveMakonnen
0.00157,0.79,217707,0.676,Big Rings,Drake
0.0233,0.738,242188,0.849,Annie,Neon Indian
0.00212,0.777,500550,0.739,Acamar,Frankey
0.0734,0.791,219333,0.779,Alright,Kendrick Lamar
0.19,0.735,275840,0.41,Know Yourself,Drake
0.188,0.556,294360,0.582,Deicide,Crystal Castles
0.461,0.427,206387,0.465,Coming Home,Leon Bridges
0.0111,0.563,176361,0.81,Hercules Theme 2014,Hercules & Love Affair
0.0496,0.753,256320,0.708,Forever,Majid Jordan
0.149,0.785,262979,0.764,Next to You,Poolside
0.0682,0.557,293910,0.608,Papi Pacify,FKA twigs
0.489,0.594,235693,0.42,Magnolia,Young & Sick
0.000259,0.644,237120,0.758,Dark Matter,Feathers
0.217,0.704,185437,0.657,Callie (feat. Vic Mensa),Donnie Trumpet
0.0472,0.849,217693,0.408,Wu-Tang Forever,Drake
0.228,0.628,260947,0.568,Fame (2007 Remastered),David Bowie
0.00689,0.717,224933,0.862,We Dem Boyz,Wiz Khalifa
0.0109,0.584,243480,0.68,Ego Free Sex Free,Autre Ne Veut
0.0246,0.586,374133,0.806,Her Fantasy,Matthew Dear
0.00399,0.648,560600,0.85,Little People (Black City),Matthew Dear
0.037,0.807,250130,0.785,Confess To Me,Disclosure
